text,sentiment,target
standard procedure #1394,neutral,1
terrible quality #7132,negative,0
will follow up later #5469,neutral,1
noted for the record #7456,neutral,1
highly recommend #5189,positive,2
hate this update #4329,negative,0
so frustrated right now #3274,negative,0
noted for the record #5824,neutral,1
loving this so much #5383,positive,2
this is awful #2478,negative,0
totally disappointed with this #8008,negative,0
would not recommend #4510,negative,0
so happy with this #8287,positive,2
loving this so much #3720,positive,2
will follow up later #27,neutral,1
ok thanks #3032,neutral,1
this made my day #9086,positive,2
fantastic support team #877,positive,2
see you tomorrow #9745,neutral,1
this is awful #1767,negative,0
loving this so much #3096,positive,2
the meeting is at 3pm #8671,neutral,1
so happy with this #9019,positive,2
so happy with this #4305,positive,2
worst experience ever #3361,negative,0
hate this update #9846,negative,0
hate this update #1189,negative,0
this is awful #2207,negative,0
standard procedure #4512,neutral,1
the meeting is at 3pm #8150,neutral,1
noted for the record #9697,neutral,1
this is awful #5318,negative,0
waste of time #2070,negative,0
loving this so much #6906,positive,2
would not recommend #8924,negative,0
standard procedure #1610,neutral,1
link attached for reference #5140,neutral,1
so frustrated right now #3336,negative,0
ok thanks #9002,neutral,1
fantastic support team #4457,positive,2
will follow up later #48,neutral,1
would not recommend #1085,negative,0
this is awful #4988,negative,0
excellent quality #5531,positive,2
best day ever #19,positive,2
this is awful #6997,negative,0
terrible quality #2813,negative,0
this made my day #9356,positive,2
see you tomorrow #1679,neutral,1
so happy with this #2672,positive,2
this made my day #5111,positive,2
this made my day #572,positive,2
see you tomorrow #9370,neutral,1
worst experience ever #5748,negative,0
noted for the record #1570,neutral,1
waste of time #1552,negative,0
noted for the record #4161,neutral,1
would not recommend #228,negative,0
great experience #5333,positive,2
totally disappointed with this #9306,negative,0
loving this so much #844,positive,2
totally disappointed with this #1554,negative,0
link attached for reference #6741,neutral,1
totally disappointed with this #1635,negative,0
highly recommend #999,positive,2
ok thanks #3772,neutral,1
totally disappointed with this #9966,negative,0
excellent quality #5115,positive,2
excellent quality #2414,positive,2
ok thanks #110,neutral,1
fantastic support team #4636,positive,2
highly recommend #7323,positive,2
great experience #5401,positive,2
highly recommend #715,positive,2
worst experience ever #8961,negative,0
waste of time #401,negative,0
so frustrated right now #6302,negative,0
as expected #1350,neutral,1
would not recommend #7875,negative,0
noted for the record #5394,neutral,1
hate this update #6081,negative,0
excellent quality #5808,positive,2
ok thanks #9869,neutral,1
hate this update #1523,negative,0
best day ever #9741,positive,2
worst experience ever #423,negative,0
link attached for reference #8536,neutral,1
see you tomorrow #1083,neutral,1
as expected #2504,neutral,1
worst experience ever #3985,negative,0
standard procedure #7875,neutral,1
as expected #2117,neutral,1
would not recommend #8433,negative,0
this made my day #4759,positive,2
this made my day #3162,positive,2
hate this update #2077,negative,0
highly recommend #3563,positive,2
standard procedure #9504,neutral,1
ok thanks #6136,neutral,1
hate this update #7519,negative,0
so frustrated right now #553,negative,0
worst experience ever #7154,negative,0
link attached for reference #8983,neutral,1
this made my day #8001,positive,2
will follow up later #7390,neutral,1
worst experience ever #7720,negative,0
this made my day #8169,positive,2
worst experience ever #3239,negative,0
noted for the record #2974,neutral,1
terrible quality #4627,negative,0
fantastic support team #9083,positive,2
this is awful #3573,negative,0
highly recommend #2198,positive,2
the meeting is at 3pm #8898,neutral,1
loving this so much #4156,positive,2
will follow up later #2880,neutral,1
worst experience ever #6007,negative,0
so happy with this #9522,positive,2
will follow up later #8274,neutral,1
so frustrated right now #4482,negative,0
great experience #5861,positive,2
excellent quality #4147,positive,2
this made my day #9982,positive,2
loving this so much #4829,positive,2
terrible quality #298,negative,0
fantastic support team #6359,positive,2
ok thanks #2100,neutral,1
this is awful #7798,negative,0
will follow up later #1542,neutral,1
as expected #5214,neutral,1
totally disappointed with this #6217,negative,0
fantastic support team #139,positive,2
hate this update #1532,negative,0
standard procedure #3278,neutral,1
hate this update #5204,negative,0
this made my day #1867,positive,2
standard procedure #217,neutral,1
as expected #712,neutral,1
link attached for reference #7631,neutral,1
will follow up later #2246,neutral,1
link attached for reference #4600,neutral,1
great experience #6,positive,2
standard procedure #2441,neutral,1
great experience #2261,positive,2
the meeting is at 3pm #4578,neutral,1
waste of time #4618,negative,0
worst experience ever #4695,negative,0
this made my day #5962,positive,2
would not recommend #1180,negative,0
ok thanks #4676,neutral,1
noted for the record #5921,neutral,1
highly recommend #2781,positive,2
would not recommend #2376,negative,0
ok thanks #4482,neutral,1
totally disappointed with this #4347,negative,0
the meeting is at 3pm #364,neutral,1
would not recommend #4350,negative,0
as expected #6142,neutral,1
terrible quality #6329,negative,0
terrible quality #5650,negative,0
as expected #2015,neutral,1
worst experience ever #4690,negative,0
so frustrated right now #6766,negative,0
so frustrated right now #1445,negative,0
worst experience ever #3900,negative,0
loving this so much #1631,positive,2
ok thanks #9884,neutral,1
hate this update #5864,negative,0
highly recommend #5417,positive,2
see you tomorrow #8951,neutral,1
standard procedure #6483,neutral,1
fantastic support team #4506,positive,2
fantastic support team #249,positive,2
highly recommend #3402,positive,2
worst experience ever #9845,negative,0
waste of time #9744,negative,0
the meeting is at 3pm #4090,neutral,1
loving this so much #8402,positive,2
ok thanks #6935,neutral,1
fantastic support team #6604,positive,2
will follow up later #5861,neutral,1
excellent quality #9,positive,2
would not recommend #6772,negative,0
the meeting is at 3pm #5826,neutral,1
so happy with this #3087,positive,2
so frustrated right now #4932,negative,0
fantastic support team #7181,positive,2
best day ever #7012,positive,2
excellent quality #9153,positive,2
will follow up later #9369,neutral,1
standard procedure #3521,neutral,1
so happy with this #8681,positive,2
would not recommend #8294,negative,0
hate this update #940,negative,0
waste of time #3159,negative,0
totally disappointed with this #9359,negative,0
the meeting is at 3pm #3495,neutral,1
link attached for reference #2459,neutral,1
would not recommend #492,negative,0
link attached for reference #8058,neutral,1
great experience #4979,positive,2
standard procedure #8465,neutral,1
fantastic support team #5629,positive,2
fantastic support team #683,positive,2
excellent quality #1352,positive,2
loving this so much #204,positive,2
loving this so much #3306,positive,2
terrible quality #6776,negative,0
will follow up later #4141,neutral,1
terrible quality #3783,negative,0
hate this update #6102,negative,0
excellent quality #7051,positive,2
this made my day #4742,positive,2
fantastic support team #3081,positive,2
this made my day #8292,positive,2
standard procedure #6599,neutral,1
hate this update #7743,negative,0
fantastic support team #1562,positive,2
so frustrated right now #4757,negative,0
excellent quality #7964,positive,2
waste of time #1377,negative,0
great experience #9496,positive,2
terrible quality #2669,negative,0
standard procedure #2402,neutral,1
excellent quality #9762,positive,2
ok thanks #3934,neutral,1
noted for the record #5569,neutral,1
this made my day #3314,positive,2
this is awful #4936,negative,0
would not recommend #6522,negative,0
excellent quality #4509,positive,2
waste of time #3944,negative,0
totally disappointed with this #2731,negative,0
the meeting is at 3pm #8526,neutral,1
fantastic support team #1856,positive,2
fantastic support team #7089,positive,2
this is awful #9359,negative,0
best day ever #7060,positive,2
waste of time #441,negative,0
best day ever #6669,positive,2
will follow up later #2588,neutral,1
see you tomorrow #412,neutral,1
excellent quality #5106,positive,2
worst experience ever #6519,negative,0
will follow up later #4462,neutral,1
noted for the record #7561,neutral,1
hate this update #633,negative,0
loving this so much #702,positive,2
the meeting is at 3pm #2578,neutral,1
totally disappointed with this #2947,negative,0
noted for the record #5718,neutral,1
fantastic support team #7120,positive,2
terrible quality #8276,negative,0
noted for the record #2628,neutral,1
see you tomorrow #9451,neutral,1
totally disappointed with this #1383,negative,0
link attached for reference #8755,neutral,1
so happy with this #4541,positive,2
so frustrated right now #8325,negative,0
so happy with this #2155,positive,2
terrible quality #5724,negative,0
standard procedure #3084,neutral,1
loving this so much #2426,positive,2
hate this update #7729,negative,0
noted for the record #7491,neutral,1
loving this so much #2116,positive,2
hate this update #638,negative,0
will follow up later #6972,neutral,1
link attached for reference #3002,neutral,1
highly recommend #2637,positive,2
this made my day #6226,positive,2
so frustrated right now #8641,negative,0
terrible quality #1894,negative,0
highly recommend #5392,positive,2
waste of time #1189,negative,0
link attached for reference #1749,neutral,1
great experience #2409,positive,2
noted for the record #9140,neutral,1
so frustrated right now #5903,negative,0
terrible quality #8368,negative,0
will follow up later #5522,neutral,1
hate this update #486,negative,0
link attached for reference #6747,neutral,1
hate this update #8875,negative,0
link attached for reference #2576,neutral,1
standard procedure #1238,neutral,1
this made my day #7000,positive,2
highly recommend #5279,positive,2
this made my day #6945,positive,2
so happy with this #7479,positive,2
waste of time #6854,negative,0
best day ever #5101,positive,2
the meeting is at 3pm #7284,neutral,1
worst experience ever #841,negative,0
see you tomorrow #6938,neutral,1
loving this so much #7918,positive,2
see you tomorrow #3446,neutral,1
fantastic support team #9976,positive,2
totally disappointed with this #5219,negative,0
this is awful #176,negative,0
see you tomorrow #3224,neutral,1
this made my day #6448,positive,2
worst experience ever #8900,negative,0
excellent quality #2024,positive,2
best day ever #8662,positive,2
excellent quality #6177,positive,2
the meeting is at 3pm #9560,neutral,1
ok thanks #7103,neutral,1
as expected #8444,neutral,1
worst experience ever #9361,negative,0
will follow up later #4871,neutral,1
so frustrated right now #9163,negative,0
waste of time #4400,negative,0
see you tomorrow #2367,neutral,1
link attached for reference #8307,neutral,1
best day ever #5819,positive,2
noted for the record #423,neutral,1
this made my day #6218,positive,2
ok thanks #9856,neutral,1
loving this so much #63,positive,2
noted for the record #8729,neutral,1
totally disappointed with this #9718,negative,0
highly recommend #5606,positive,2
see you tomorrow #1397,neutral,1
hate this update #8589,negative,0
worst experience ever #9368,negative,0
this made my day #4047,positive,2
ok thanks #1864,neutral,1
standard procedure #4212,neutral,1
so happy with this #8313,positive,2
would not recommend #6492,negative,0
hate this update #960,negative,0
excellent quality #9749,positive,2
see you tomorrow #9413,neutral,1
would not recommend #2436,negative,0
will follow up later #2762,neutral,1
the meeting is at 3pm #2276,neutral,1
would not recommend #9556,negative,0
fantastic support team #1672,positive,2
ok thanks #6415,neutral,1
highly recommend #1401,positive,2
excellent quality #7793,positive,2
loving this so much #3959,positive,2
link attached for reference #6818,neutral,1
waste of time #231,negative,0
ok thanks #509,neutral,1
loving this so much #8779,positive,2
noted for the record #7701,neutral,1
hate this update #3044,negative,0
so happy with this #8596,positive,2
noted for the record #5209,neutral,1
as expected #9940,neutral,1
totally disappointed with this #9975,negative,0
this made my day #6999,positive,2
great experience #9347,positive,2
as expected #1632,neutral,1
so happy with this #6588,positive,2
loving this so much #290,positive,2
noted for the record #750,neutral,1
highly recommend #6117,positive,2
as expected #5542,neutral,1
worst experience ever #9954,negative,0
totally disappointed with this #968,negative,0
worst experience ever #2363,negative,0
this is awful #5195,negative,0
will follow up later #2348,neutral,1
great experience #6038,positive,2
noted for the record #4986,neutral,1
link attached for reference #9403,neutral,1
this made my day #2698,positive,2
fantastic support team #6539,positive,2
fantastic support team #6200,positive,2
waste of time #4659,negative,0
as expected #4813,neutral,1
this is awful #5089,negative,0
will follow up later #1657,neutral,1
will follow up later #9605,neutral,1
terrible quality #555,negative,0
waste of time #5297,negative,0
totally disappointed with this #3479,negative,0
will follow up later #2223,neutral,1
hate this update #8014,negative,0
waste of time #5007,negative,0
waste of time #8047,negative,0
would not recommend #6587,negative,0
waste of time #6525,negative,0
fantastic support team #2163,positive,2
excellent quality #5314,positive,2
waste of time #8225,negative,0
fantastic support team #5705,positive,2
standard procedure #1838,neutral,1
will follow up later #1184,neutral,1
ok thanks #341,neutral,1
loving this so much #8564,positive,2
noted for the record #2868,neutral,1
fantastic support team #1188,positive,2
would not recommend #3607,negative,0
will follow up later #5276,neutral,1
so happy with this #9356,positive,2
the meeting is at 3pm #6355,neutral,1
would not recommend #2578,negative,0
great experience #6394,positive,2
standard procedure #7868,neutral,1
highly recommend #1285,positive,2
ok thanks #7460,neutral,1
worst experience ever #8334,negative,0
see you tomorrow #7100,neutral,1
hate this update #876,negative,0
noted for the record #3782,neutral,1
totally disappointed with this #4115,negative,0
so frustrated right now #7385,negative,0
fantastic support team #2891,positive,2
worst experience ever #351,negative,0
as expected #5494,neutral,1
totally disappointed with this #4234,negative,0
see you tomorrow #3426,neutral,1
ok thanks #4916,neutral,1
best day ever #3067,positive,2
this is awful #946,negative,0
as expected #1526,neutral,1
so frustrated right now #7817,negative,0
ok thanks #2079,neutral,1
see you tomorrow #4665,neutral,1
link attached for reference #7341,neutral,1
terrible quality #6310,negative,0
so frustrated right now #877,negative,0
worst experience ever #7585,negative,0
as expected #7728,neutral,1
this is awful #3649,negative,0
best day ever #9908,positive,2
totally disappointed with this #9585,negative,0
as expected #4609,neutral,1
see you tomorrow #4638,neutral,1
totally disappointed with this #16,negative,0
see you tomorrow #8057,neutral,1
this made my day #5470,positive,2
this made my day #9152,positive,2
terrible quality #9327,negative,0
so frustrated right now #1030,negative,0
noted for the record #5472,neutral,1
excellent quality #703,positive,2
excellent quality #2962,positive,2
