text,text_clean,sentiment,target
standard procedure #1394,standard procedure,neutral,1
terrible quality #7132,terrible quality,negative,0
will follow up later #5469,follow later,neutral,1
noted for the record #7456,note record,neutral,1
highly recommend #5189,highly recommend,positive,2
hate this update #4329,hate update,negative,0
so frustrated right now #3274,frustrate right,negative,0
noted for the record #5824,note record,neutral,1
loving this so much #5383,love much,positive,2
this is awful #2478,awful,negative,0
totally disappointed with this #8008,totally disappointed,negative,0
would not recommend #4510,would recommend,negative,0
so happy with this #8287,happy,positive,2
loving this so much #3720,love much,positive,2
will follow up later #27,follow later,neutral,1
ok thanks #3032,ok thanks,neutral,1
this made my day #9086,make day,positive,2
fantastic support team #877,fantastic support team,positive,2
see you tomorrow #9745,see tomorrow,neutral,1
this is awful #1767,awful,negative,0
loving this so much #3096,love much,positive,2
the meeting is at 3pm #8671,meeting 3pm,neutral,1
so happy with this #9019,happy,positive,2
so happy with this #4305,happy,positive,2
worst experience ever #3361,bad experience ever,negative,0
hate this update #9846,hate update,negative,0
hate this update #1189,hate update,negative,0
this is awful #2207,awful,negative,0
standard procedure #4512,standard procedure,neutral,1
the meeting is at 3pm #8150,meeting 3pm,neutral,1
noted for the record #9697,note record,neutral,1
this is awful #5318,awful,negative,0
waste of time #2070,waste time,negative,0
loving this so much #6906,love much,positive,2
would not recommend #8924,would recommend,negative,0
standard procedure #1610,standard procedure,neutral,1
link attached for reference #5140,link attach reference,neutral,1
so frustrated right now #3336,frustrate right,negative,0
ok thanks #9002,ok thanks,neutral,1
fantastic support team #4457,fantastic support team,positive,2
will follow up later #48,follow later,neutral,1
would not recommend #1085,would recommend,negative,0
this is awful #4988,awful,negative,0
excellent quality #5531,excellent quality,positive,2
best day ever #19,best day ever,positive,2
this is awful #6997,awful,negative,0
terrible quality #2813,terrible quality,negative,0
this made my day #9356,make day,positive,2
see you tomorrow #1679,see tomorrow,neutral,1
so happy with this #2672,happy,positive,2
this made my day #5111,make day,positive,2
this made my day #572,make day,positive,2
see you tomorrow #9370,see tomorrow,neutral,1
worst experience ever #5748,bad experience ever,negative,0
noted for the record #1570,note record,neutral,1
waste of time #1552,waste time,negative,0
noted for the record #4161,note record,neutral,1
would not recommend #228,would recommend,negative,0
great experience #5333,great experience,positive,2
totally disappointed with this #9306,totally disappointed,negative,0
loving this so much #844,love much,positive,2
totally disappointed with this #1554,totally disappointed,negative,0
link attached for reference #6741,link attach reference,neutral,1
totally disappointed with this #1635,totally disappointed,negative,0
highly recommend #999,highly recommend,positive,2
ok thanks #3772,ok thanks,neutral,1
totally disappointed with this #9966,totally disappointed,negative,0
excellent quality #5115,excellent quality,positive,2
excellent quality #2414,excellent quality,positive,2
ok thanks #110,ok thanks,neutral,1
fantastic support team #4636,fantastic support team,positive,2
highly recommend #7323,highly recommend,positive,2
great experience #5401,great experience,positive,2
highly recommend #715,highly recommend,positive,2
worst experience ever #8961,bad experience ever,negative,0
waste of time #401,waste time,negative,0
so frustrated right now #6302,frustrate right,negative,0
as expected #1350,expect,neutral,1
would not recommend #7875,would recommend,negative,0
noted for the record #5394,note record,neutral,1
hate this update #6081,hate update,negative,0
excellent quality #5808,excellent quality,positive,2
ok thanks #9869,ok thanks,neutral,1
hate this update #1523,hate update,negative,0
best day ever #9741,best day ever,positive,2
worst experience ever #423,bad experience ever,negative,0
link attached for reference #8536,link attach reference,neutral,1
see you tomorrow #1083,see tomorrow,neutral,1
as expected #2504,expect,neutral,1
worst experience ever #3985,bad experience ever,negative,0
standard procedure #7875,standard procedure,neutral,1
as expected #2117,expect,neutral,1
would not recommend #8433,would recommend,negative,0
this made my day #4759,make day,positive,2
this made my day #3162,make day,positive,2
hate this update #2077,hate update,negative,0
highly recommend #3563,highly recommend,positive,2
standard procedure #9504,standard procedure,neutral,1
ok thanks #6136,ok thanks,neutral,1
hate this update #7519,hate update,negative,0
so frustrated right now #553,frustrate right,negative,0
worst experience ever #7154,bad experience ever,negative,0
link attached for reference #8983,link attach reference,neutral,1
this made my day #8001,make day,positive,2
will follow up later #7390,follow later,neutral,1
worst experience ever #7720,bad experience ever,negative,0
this made my day #8169,make day,positive,2
worst experience ever #3239,bad experience ever,negative,0
noted for the record #2974,note record,neutral,1
terrible quality #4627,terrible quality,negative,0
fantastic support team #9083,fantastic support team,positive,2
this is awful #3573,awful,negative,0
highly recommend #2198,highly recommend,positive,2
the meeting is at 3pm #8898,meeting 3pm,neutral,1
loving this so much #4156,love much,positive,2
will follow up later #2880,follow later,neutral,1
worst experience ever #6007,bad experience ever,negative,0
so happy with this #9522,happy,positive,2
will follow up later #8274,follow later,neutral,1
so frustrated right now #4482,frustrate right,negative,0
great experience #5861,great experience,positive,2
excellent quality #4147,excellent quality,positive,2
this made my day #9982,make day,positive,2
loving this so much #4829,love much,positive,2
terrible quality #298,terrible quality,negative,0
fantastic support team #6359,fantastic support team,positive,2
ok thanks #2100,ok thanks,neutral,1
